date,open,high,low,close,volume
2017-04-12,97.7413,98.3191,96.7253,96.9345,10352296
2017-04-13,95.9583,96.8349,95.1215,95.1215,12672345
2017-04-17,95.6395,98.857,95.4303,98.8471,12432305
2017-04-18,98.2693,99.1559,97.2234,98.9068,9252944
2017-04-19,99.6141,100.5903,99.0264,99.2953,9520659
2017-04-20,99.883,101.0549,99.0264,100.8692,10100358
2017-04-21,100.4508,101.3972,99.9727,101.2876,8547390
2017-04-24,102.5627,103.0807,101.7159,102.5527,9295490
2017-04-25,103.1404,104.9235,102.2738,104.3358,9710972
2017-04-26,104.8837,104.9833,103.5389,103.6186,8175145
2017-04-27,103.9174,105.571,103.1902,105.2323,7992465
2017-04-28,104.9534,105.2323,103.6684,103.8975,8706157
2017-05-01,104.3358,106.4377,104.0469,106.2285,7693333
2017-05-02,105.1427,105.188,102.1642,103.0807,15749327
2017-05-03,102.8017,104.2362,102.2041,103.8477,8422633
2017-05-04,104.0967,104.545,103.1305,103.4492,5244692
2017-05-05,102.981,103.7481,102.3535,103.4592,5710736
2017-05-08,103.9373,103.9971,101.9152,102.3734,9130990
2017-05-09,102.6025,104.5251,102.2638,102.5427,21191792
2017-05-10,113.8489,121.3499,113.58,120.8219,53227434
2017-05-11,119.5867,129.9267,119.4473,126.0118,48494808
2017-05-12,126.1413,129.0999,125.2946,127.3965,24065459
2017-05-15,129.06,133.8913,128.8807,133.7917,27188548
2017-05-16,135.8537,136.9096,132.8488,136.282,28017471
2017-05-17,133.5825,134.3396,127.0578,127.2271,31784158
2017-05-18,129.0002,132.9151,126.5597,132.5565,28900757
2017-05-19,136.64,137.8316,134.84,135.6178,25459271
2017-05-22,137.3829,139.0881,136.9441,138.5097,20915225
2017-05-23,139.3074,139.3972,135.3286,136.6449,17031247
2017-05-24,140.5639,140.6736,137.692,138.1806,20434495
2017-05-25,139.6066,139.6365,136.0566,137.8715,15205701
2017-05-26,137.5424,144.8718,136.7247,141.4414,19478497
2017-05-30,143.2962,145.88,142.648,144.4629,24741298
2017-05-31,146.2778,146.5869,141.6508,143.9444,22182894
2017-06-01,144.5826,144.6225,142.1195,143.9543,12583467
2017-06-02,143.8347,144.8917,142.997,143.2364,12186434
2017-06-05,142.5782,148.1126,142.1095,147.5941,20434442
2017-06-06,147.4046,149.2694,146.3875,146.926,18968189
2017-06-07,147.9132,149.4588,147.285,148.701,15315293
2017-06-08,153.0288,159.5504,151.3635,159.4906,29043605
2017-06-09,164.2771,168.0265,142.3489,149.1796,92323196
2017-06-12,145.4701,151.2737,141.7107,149.5486,42438280
2017-06-13,153.9661,154.3351,145.2407,150.9746,41812580
